;Date;SMB
1;02/01/2001;0.115836998543047
2;03/01/2001;0.0383097794623746
3;04/01/2001;-0.0140667877580605
4;05/01/2001;0.0156393037734845
5;08/01/2001;-0.00459740516193744
6;09/01/2001;0.00342015305598879
7;10/01/2001;0.0161304109584598
8;11/01/2001;-0.0115939056085374
9;12/01/2001;0.0107793602724142
10;15/01/2001;-0.00295184602635752
11;16/01/2001;0.00321781115215292
12;17/01/2001;0.0138123506891685
13;18/01/2001;-0.0218466468894732
14;19/01/2001;0.00893711605307387
15;22/01/2001;0.00544910932692144
16;23/01/2001;0.012051266864778
17;24/01/2001;-0.00815701799289377
18;26/01/2001;-0.00860537889377518
19;29/01/2001;-0.00437211285425421
20;30/01/2001;0.00897289930110563
21;31/01/2001;-0.0166288286893675
22;01/02/2001;0.013015468020076
23;02/02/2001;0.0253746068337333
24;05/02/2001;0.00612720073481964
25;06/02/2001;0.0157507522376526
26;07/02/2001;-0.00336648616425913
27;08/02/2001;0.00724372854242567
28;09/02/2001;0.00369710228764047
29;12/02/2001;0.00649242977838283
30;13/02/2001;0.000299373195264649
31;14/02/2001;3,01E+09
32;15/02/2001;-0.000420252930275597
33;16/02/2001;0.00220840563315011
34;19/02/2001;-0.00274796199156596
35;20/02/2001;-0.00973167313569716
36;21/02/2001;0.000736700564337889
37;22/02/2001;0.00511066209345233
38;23/02/2001;0.00938245556680768
39;28/02/2001;-0.0270824087640062
40;01/03/2001;0.0295521955374815
41;02/03/2001;-0.00380234357196779
42;05/03/2001;0.0186855539287092
43;06/03/2001;-0.00616066769571007
44;07/03/2001;-0.00665090048917402
45;08/03/2001;-0.0113540112549455
46;09/03/2001;-0.00936234665033376
47;12/03/2001;0.0195657616116071
48;13/03/2001;0.00298257222156243
49;14/03/2001;-0.0065156252819974
50;15/03/2001;-0.00246768752495623
51;16/03/2001;0.00900272638981601
52;19/03/2001;0.00182879879603037
53;20/03/2001;0.00463287920100251
54;21/03/2001;0.000715555298798853
55;22/03/2001;0.00811880215030448
56;23/03/2001;-0.0327605795392353
57;26/03/2001;-0.017017015475239
58;27/03/2001;-0.0101525793937738
59;28/03/2001;0.014049677551226
60;29/03/2001;-0.0131319690274392
61;30/03/2001;-0.00249386305801161
62;02/04/2001;0.00486052908210095
63;03/04/2001;0.0102300708152364
64;04/04/2001;-0.0269733147740978
65;05/04/2001;-0.0171285015911154
66;06/04/2001;0.0217335706528843
67;09/04/2001;-0.011173283517122
68;10/04/2001;-0.00290242357390179
69;11/04/2001;0.00422260133217887
70;12/04/2001;-0.0153285147690753
71;16/04/2001;0.0126666915672413
72;17/04/2001;0.0124672089416053
73;18/04/2001;0.0021790946452863
74;19/04/2001;-0.00665890959035151
75;20/04/2001;-0.00585746331707354
76;23/04/2001;-0.0230081352035937
77;24/04/2001;-0.0188794702395339
78;25/04/2001;-0.0209557498535552
79;26/04/2001;0.00165167168093393
80;27/04/2001;-0.0231743769699765
81;30/04/2001;-0.0233994530180794
82;02/05/2001;-0.00173558661832063
83;03/05/2001;0.0280746758533785
84;04/05/2001;0.0131140179574243
85;07/05/2001;0.00943057311627264
86;08/05/2001;-0.0043930103552818
87;09/05/2001;-0.0159839116431846
88;10/05/2001;-0.0187627937941032
89;11/05/2001;0.0040184150371923
90;14/05/2001;-0.0150941645195655
91;15/05/2001;-0.0412831131409549
92;16/05/2001;0.00345128911006445
93;17/05/2001;-0.00214114335517027
94;18/05/2001;-0.0102383666095171
95;21/05/2001;-0.0236048060905952
96;22/05/2001;-0.00926012741047029
97;23/05/2001;-0.0255479626621434
98;24/05/2001;-0.0042151925722597
99;25/05/2001;-0.0238593282146864
100;28/05/2001;-0.00169166917992228
101;29/05/2001;0.0257773726753596
102;30/05/2001;0.0245834816156144
103;31/05/2001;-0.00655877684472934
104;01/06/2001;-0.00170304063772972
105;04/06/2001;-0.00181346092342287
106;05/06/2001;-0.00520295079214567
107;06/06/2001;0.00725115167094058
108;07/06/2001;-0.00360531709721678
109;08/06/2001;0.0160301118657986
110;11/06/2001;-0.0142201747244614
111;12/06/2001;0.0080444820775867
112;13/06/2001;0.0103748312831912
113;15/06/2001;-0.00729602182786002
114;18/06/2001;-0.00722699932241791
115;19/06/2001;0.00732762764974687
116;20/06/2001;-0.00625651851981482
117;21/06/2001;0.0210685234687249
118;22/06/2001;0.00286287554942796
119;25/06/2001;-0.0151648897051478
120;26/06/2001;-0.00349492657773012
121;27/06/2001;0.00853394087112289
122;28/06/2001;0.00737203544235941
123;29/06/2001;-0.0205663048734272
124;02/07/2001;-0.00798684814850432
125;03/07/2001;0.0284937747533057
126;04/07/2001;-0.00414049723596127
127;05/07/2001;-0.00722952306445519
128;06/07/2001;0.00732892855672053
129;10/07/2001;-0.00820509226978285
130;11/07/2001;0.0128615177967573
131;12/07/2001;-0.0379433852660468
132;13/07/2001;-0.0122947966352885
133;16/07/2001;0.016198353303041
134;17/07/2001;0.0214126920625282
135;18/07/2001;0.00328794607106481
136;19/07/2001;-0.00739333503499665
137;20/07/2001;0.00774030994413673
138;23/07/2001;-0.00226219641494712
139;24/07/2001;-0.00758610986092967
140;25/07/2001;-0.00570348444071625
141;26/07/2001;0.00535150646440694
142;27/07/2001;0.00597039851311837
143;30/07/2001;0.00779807315096921
144;31/07/2001;-0.0116396630609782
145;01/08/2001;-0.00466372215484763
146;02/08/2001;0.00662288878281836
147;03/08/2001;0.0120592498105779
148;06/08/2001;-0.0193988722497254
149;07/08/2001;0.0109361295477853
150;08/08/2001;0.0125897441663903
151;09/08/2001;0.0092952369345969
